"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019"
422,"LBN","Lebanon",0.03727965,0.038137648,0.037537808,0.038147992,0.03772423,0.037986186,0.037269239,0.038444715,0.036527604,0.038483713,0.037595379,0.03860061,0.039314428,0.039946123,0.038441124,0.036918721,0.0377425
426,"LSO","Lesotho",0.025907154,0.025568868,0.024899214,0.024815755,0.024274644,0.024001253,0.024353219,0.025084221,0.025057792,0.024637641,0.02370773,0.024728018,0.023895881,0.024394866,0.023768662,0.023859821,0.024820463
430,"LBR","Liberia",0.000812037,0.000741556,0.000697154,0.000769864,0.000961897,0.000874065,0.001736127,0.000811152,0.000824377,0.001052553,0.000848493,0.000960405,0.001270424,0.001045936,0.000869811,0.0007923,0.001012141
434,"LBY","Libya",0.005486516,0.005709061,0.005640902,0.005974757,0.00560024,0.005504163,0.005244807,0.005257581,0.005535506,0.005844033,0.00578899,0.006404497,0.006392259,0.006872585,0.007002308,0.007260692,0.007483427
438,"LIE","Liechtenstein",0.003433851,0.003057966,0.002863217,0.002732516,0.002482754,0.002317817,0.002098225,0.001824579,0.001848805,0.001629159,0.001585022,0.001497525,0.001536999,0.001410089,0.001357709,0.001288495,0.001151043
440,"LTU","Lithuania",0.003867295,0.003906044,0.00399718,0.004191691,0.00405677,0.004144612,0.004168819,0.004416809,0.00422923,0.004224013,0.004350849,0.004210395,0.004110473,0.004038904,0.00386107,0.004072353,0.003854822
442,"LUX","Luxembourg",0.006020125,0.005149476,0.00489705,0.00435402,0.004093571,0.003581245,0.003372308,0.003057046,0.002852007,0.0026113,0.002506658,0.002404002,0.002203797,0.002094143,0.002049367,0.002085628,0.001739041
446,"MAC","Macao",0.08977782,0.104935963,0.102720115,0.107576324,0.105674816,0.103965048,0.102370258,0.09507114,0.096064005,0.095489632,0.096631579,0.099985833,0.099890216,0.099377586,0.092389134,0.094693286,0.097823366
450,"MDG","Madagascar",0.000562108,0.000491448,0.000611498,0.000620098,0.000611365,0.000595458,0.000663014,0.000714054,0.000741261,0.000703175,0.000732301,0.000667029,0.000679802,0.000721311,0.000590113,0.000622584,0.000600957
454,"MWI","Malawi",0.001447021,0.001528157,0.001693177,0.001671923,0.001853352,0.001923295,0.001816389,0.001843645,0.001983925,0.00200706,0.001930293,0.001933985,0.001955536,0.001874288,0.001780641,0.001879032,0.001853444
